# This file contains word-score pairings from the MRC Psycholinguistic Database.
# Words are scored on four attributes: Age of Aquisition, Concreteness, Familiarity, and Imagability

# Only words that have a Kucera-Francis written frequency of at least 38 are included, since
# the Database can only show a maximum of 5000 results per search

WORD                     AOA CNC FAM IMG
BROUGHT                    -   -   -   - 
BROWN                      -   -   -   - 
BRUSH                    214 589 579 570 
BUDGET                   497 366 517 394 
BUILD                      - 402 554 399 
BUILDING                 300 589 607 578 
BUILT                      -   -   -   - 
BURDEN                   474 391 446 499 
BUREAU                   461 547 395 497 
BURNING                    -   -   -   - 
BUSINESS                 436 389 563 441 
BUSY                       - 329 600 403 
BUT                        - 227 603 206 
BUY                        - 370 575 397 
BY                         - 208 598 229 
C                          -   -   -   - 
CALL                     225 389 599 424 
CALLING                    -   -   -   - 
CAME                       - 265 563 288 
CAMP                     308 571 541 588 
CAMPAIGN                   -   -   -   - 
CAN                        - 365 620 369 
CAN'T                      -   -   -   - 
CANNOT                     -   -   -   - 
CAPABLE                    -   - 554 315 
CAPACITY                   - 293 512 373 
CAPITAL                  380 448 538 518 
CAPTAIN                    - 534 498 497 
CAR                      197 622 634 638 
CARE                       - 342 563 383 
CAREER                   514 373 589 418 
CAREFUL                    -   - 605 346 
CARL                       -   -   -   - 
CARRY                      - 364 554 393 
CARRYING                   -   -   -   - 
CASE                     311 548 553 517 
CAST                       - 502 495 483 
CATCH                      -   -   -   - 
CATHOLIC                   -   -   -   - 
CATTLE                   261 600 511 619 
CAUGHT                     - 340 550 401 
CAUSE                    408 287 557 282 
CELL                       - 542 520 590 
CENT                     433 544 473 518 
CENTER                     - 371 540 459 
CENTRAL                    -   -   -   - 
CENTURY                  414 346 514 395 
CERTAIN                    -   -   -   - 
CHAIN                    311 595 513 559 
CHAIR                      - 606 617 610 
CHAIRMAN                   -   -   -   - 
CHAMBER                    -   -   -   - 
CHANCE                     - 254 563 354 
CHANGE                     -   -   -   - 
CHAPTER                    -   -   -   - 
CHARACTER                464 365 551 372 
CHARACTERISTIC             -   -   -   - 
CHARGE                     -   -   -   - 
CHECK                      -   -   -   - 
CHEMICAL                   -   -   -   - 
CHEST                      - 580 543 556 
CHIEF                      - 503 482 545 
CHILD                      - 581 585 619 
CHILDHOOD                372 335 515 489 
CHILDREN                   - 582 608 597 
CHINA                      - 578 507 597 
CHINESE                    -   -   -   - 
CHOICE                     -   -   -   - 
CHOOSE                     - 308 534 299 
CHOSEN                     -   -   -   - 
CHRIST                     -   -   -   - 
CHRISTIAN                  -   -   -   - 
CHURCH                   278 587 560 616 
CIRCLE                   214 515 581 591 
CIRCUMSTANCES              -   -   -   - 
CITY                       - 554 616 605 
CIVIL                      -   - 508 317 
CIVILIZATION             503 361 491 437 
CLAIM                    417 331 525 321 
CLASS                      -   -   -   - 
CLAY                     358 606 455 575 
CLEAN                      - 392 610 454 
CLEAR                      - 359 576 456 
CLOSE                    283 391 587 420 
CLOSED                     -   -   -   - 
CLOSELY                    -   -   -   - 
CLOSER                     - 323 536 393 
CLOTH                      - 580 561 547 
CLOTHES                  194 600 652 629 
CLUB                       - 509 533 522 
CO                         -   -   -   - 
COAST                      - 562 541 588 
COAT                     197 601 610 572 
CODE                       - 432 464 460 
COFFEE                   292 613 625 618 
COLD                     183 457 626 531 
COLLECTED                  -   -   -   - 
COLLECTION               428 403 538 419 
COLLEGE                    - 554 620 590 
COLOR                      - 467 582 513 
COLUMN                   436 520 519 491 
COMBINATION              475 326 493 326 
COMBINED                   -   -   -   - 
COME                       - 355 608 322 
COMEDY                     - 365 588 489 
COMES                      -   - 636 283 
COMFORT                    - 402 566 421 
COMING                     -   -   -   - 
COMMAND                    - 377 526 366 
COMMENT                    -   -   -   - 
COMMERCE                   -   -   -   - 
COMMERCIAL               525 423 536 460 
COMMISSION                 -   -   -   - 
COMMITTEE                517 498 532 481 
COMMON                     -   - 595 276 
COMMUNICATION            503 399 527 391 
COMMUNISM                  -   -   -   - 
COMMUNIST                  -   -   -   - 
COMMUNITY                522 388 499 416 
COMPANY                  436 424 573 426 
COMPARABLE                 -   -   -   - 
COMPARISON                 - 311 560 336 
COMPETITION              381 342 544 443 
COMPLETE                   -   - 605 341 
COMPLETION                 -   -   -   - 
COMPLEX                    -   -   -   - 
CONCENTRATION              -   -   -   - 
CONCEPT                    - 264 532 258 
CONCERN                  444 509 519 353 
CONCERNED                  -   -   -   - 
CONCERNING                 -   -   -   - 
CONCERT                  386 252 520 578 
CONCLUSION               536 278 577 345 
CONCRETE                   - 562 528 564 
CONDITION                461 303 571 297 
CONDUCT                    -   -   -   - 
CONFERENCE               539 417 498 465 
CONFIDENCE               481 270 566 371 
CONFLICT                 497 305 494 432 
